序号,起止站点,编号,通行时间,车牌号,金额（元）,该路线最低收费,与最低收费差额
1,上海临港站-上海白鹤路站,CQ26030140,2026/3/5 10:25,沪A62758D,24.92,10.03,14.89
2,上海临港站-上海金山卫站,CQ26021089,2025/11/22 2:34,沪A31087D,40.26,34.01,6.25
3,上海临港站-上海金山卫站,CQ26023852,2026/1/4 0:50,沪A31087D,36.87,34.01,2.86
4,上海临港站-上海高东站,CQ26021831,2025/12/20 17:59,沪A60619D,81.24,10.03,71.21
5,上海临港站-上海高东站,CQ26023590,2026/1/8 19:38,沪GE7293,77.18,10.03,67.15
6,上海凌海路站-上海汇源路站,CQ26022074,2025/12/13 5:18,沪A61235D,42.88,17.51,25.37
7,上海凌海路站-上海江杨北路站,CQ26024057,2025/12/29 12:50,沪A72605D,2.75,1.91,0.84
8,上海凌海路站-上海江杨北路站,CQ26022323,2025/12/8 12:33,沪A72605D,2.75,1.91,0.84
9,上海凌海路站-上海江杨北路站,CQ26023465,2026/1/10 8:16,沪A63677D,2.75,1.91,0.84
10,上海凌海路站-上海江杨北路站,CQ26030219,2026/3/2 0:28,沪A31087D,2.75,1.91,0.84
11,上海凌海路站-上海沪崇站,CQ26020844,2025/10/23 0:21,沪A61387D,10.03,1.8,8.23
12,上海凌海路站-上海沪崇站,CQ26020805,2025/10/29 18:56,沪A59069D,10.03,1.8,8.23
13,上海凌海路站-上海沪崇站,CQ26021367,2025/10/31 12:32,沪A61387D,10.03,1.8,8.23
14,上海凌海路站-上海沪崇站,CQ26021216,2025/11/11 13:29,沪A61387D,10.03,1.8,8.23
15,上海凌海路站-上海沪崇站,CQ26021207,2025/11/12 9:51,沪A82920D,10.03,1.8,8.23
16,上海凌海路站-上海沪崇站,CQ26021147,2025/11/18 9:25,沪A60619D,10.03,1.8,8.23
17,上海凌海路站-上海沪崇站,CQ26021133,2025/11/19 6:32,沪A75060D,10.03,1.8,8.23
18,上海凌海路站-上海沪崇站,CQ26021119,2025/11/20 0:13,沪A61387D,10.03,1.8,8.23
19,上海凌海路站-上海沪崇站,CQ26021118,2025/11/20 1:31,沪A82920D,10.03,1.8,8.23
20,上海凌海路站-上海沪崇站,CQ26021103,2025/11/21 10:39,沪A82920D,10.03,1.8,8.23
21,上海凌海路站-上海沪崇站,CQ26021033,2025/11/25 8:32,沪A82920D,10.03,1.8,8.23
22,上海凌海路站-上海沪崇站,CQ26020958,2025/11/28 17:12,沪A67687D,10.03,1.8,8.23
23,上海凌海路站-上海沪崇站,CQ26020970,2025/11/28 7:17,沪A82920D,10.03,1.8,8.23
24,上海凌海路站-上海沪崇站,CQ26021327,2025/11/3 17:50,沪A59069D,10.03,1.8,8.23
25,上海凌海路站-上海沪崇站,CQ26021309,2025/11/5 10:37,沪A61387D,10.03,1.8,8.23
26,上海凌海路站-上海沪崇站,CQ26021294,2025/11/6 10:46,沪A60619D,10.03,1.8,8.23
27,上海凌海路站-上海沪崇站,CQ26021289,2025/11/6 13:05,沪A61387D,10.03,1.8,8.23
28,上海凌海路站-上海沪崇站,CQ26021243,2025/11/6 6:35,沪A67687D,10.03,1.8,8.23
29,上海凌海路站-上海沪崇站,CQ26021266,2025/11/7 10:47,沪A61387D,10.03,1.8,8.23
30,上海凌海路站-上海沪崇站,CQ26021974,2025/12/17 18:17,苏E32686D,10.03,1.8,8.23
31,上海凌海路站-上海沪崇站,CQ26021996,2025/12/17 7:36,苏E32686D,10.03,1.8,8.23
32,上海凌海路站-上海沪崇站,CQ26021957,2025/12/18 6:53,沪A63677D,10.03,1.8,8.23
33,上海凌海路站-上海沪崇站,CQ26021959,2025/12/18 6:53,沪A82920D,10.03,1.8,8.23
34,上海凌海路站-上海沪崇站,CQ26021910,2025/12/19 13:01,沪A63677D,10.03,1.8,8.23
35,上海凌海路站-上海沪崇站,CQ26021901,2025/12/19 17:06,沪A69190D,10.03,1.8,8.23
36,上海凌海路站-上海沪崇站,CQ26022527,2025/12/2 17:46,沪A60619D,10.03,1.8,8.23
37,上海凌海路站-上海沪崇站,CQ26021871,2025/12/20 8:01,沪A65131D,10.03,1.8,8.23
38,上海凌海路站-上海沪崇站,CQ26021608,2025/12/22 20:33,沪A62127D,10.03,1.8,8.23
39,上海凌海路站-上海沪崇站,CQ26021693,2025/12/24 11:44,沪A61235D,10.03,1.8,8.23
40,上海凌海路站-上海沪崇站,CQ26021691,2025/12/24 13:09,沪A62975D,10.03,1.8,8.23
41,上海凌海路站-上海沪崇站,CQ26021653,2025/12/25 13:19,沪A69190D,10.03,1.8,8.23
42,上海凌海路站-上海沪崇站,CQ26021668,2025/12/25 5:30,沪A62975D,10.03,1.8,8.23
43,上海凌海路站-上海沪崇站,CQ26021479,2025/12/25 8:29,沪A82920D,10.03,1.8,8.23
44,上海凌海路站-上海沪崇站,CQ26022507,2025/12/3 14:41,沪A63677D,10.03,1.8,8.23
45,上海凌海路站-上海沪崇站,CQ26022499,2025/12/3 18:56,沪A82920D,10.03,1.8,8.23
46,上海凌海路站-上海沪崇站,CQ26024067,2025/12/30 18:56,苏E32686D,10.03,1.8,8.23
47,上海凌海路站-上海沪崇站,CQ26024040,2025/12/31 20:32,沪A61387D,10.03,1.8,8.23
48,上海凌海路站-上海沪崇站,CQ26022475,2025/12/4 14:22,沪A63677D,10.03,1.8,8.23
