起止站点,总记录数,不同收费金额数,最低收费标准,收费金额1,该金额记录数1,与最低收费差额1,收费金额2,该金额记录数2,与最低收费差额2,收费金额3,该金额记录数3,与最低收费差额3,收费金额4,该金额记录数4,与最低收费差额4,收费金额5,该金额记录数5,与最低收费差额5
上海临港站-上海白鹤路站,9,2,10.03,10.03,8,0.00,24.92,1,14.89,,,,,,,,,
上海临港站-上海金山卫站,3,3,34.01,34.01,1,0.00,36.87,1,2.86,40.26,1,6.25,,,,,,
上海临港站-上海高东站,133,3,10.03,10.03,131,0.00,77.18,1,67.15,81.24,1,71.21,,,,,,
上海凌海路站-上海汇源路站,12,2,17.51,17.51,11,0.00,42.88,1,25.37,,,,,,,,,
上海凌海路站-上海江杨北路站,5,2,1.91,1.91,1,0.00,2.75,4,0.84,,,,,,,,,
上海凌海路站-上海沪崇站,89,2,1.80,1.80,1,0.00,10.03,88,8.23,,,,,,,,,
上海凌海路站-江杨北路,3,2,2.75,2.75,2,0.00,4.01,1,1.26,,,,,,,,,
上海凌海路站-浙江王江泾(嘉兴北)站,39,3,49.44,49.44,1,0.00,55.33,36,5.89,148.22,2,98.78,,,,,,
上海同济高架路站-上海朱枫公路站申嘉湖,22,3,10.03,10.03,1,0.00,15.92,1,5.89,23.75,20,13.72,,,,,,
上海同济高架路站-上海白鹤路站,12,2,10.03,10.03,11,0.00,48.31,1,38.28,,,,,,,,,
上海同济高架路站-浙江屠甸站,18,2,70.32,70.32,1,0.00,76.94,17,6.62,,,,,,,,,
上海同济高架路站-浙江王江泾(嘉兴北)站,19,2,55.33,55.33,18,0.00,140.60,1,85.27,,,,,,,,,
上海同济高架路站-浙江秀洲(嘉兴西)站,34,2,58.66,58.66,2,0.00,67.27,32,8.61,,,,,,,,,
上海同济高架路站-浙江长兴站,3,2,140.86,140.86,1,0.00,267.81,2,126.95,,,,,,,,,
上海周浦站-上海下盐公路站,2,2,5.30,5.30,1,0.00,7.02,1,1.72,,,,,,,,,
上海周浦站-上海金山卫站,9,3,55.19,55.19,1,0.00,60.77,2,5.58,65.39,6,10.20,,,,,,
上海周浦站-浙江乍浦站,5,3,83.10,83.10,1,0.00,87.71,3,4.61,112.93,1,29.83,,,,,,
上海周浦站-浙江新仓(独山港东)站,6,2,66.22,66.22,1,0.00,70.83,5,4.61,,,,,,,,,
上海嘉西站-上海沪翔高速站,25,2,3.66,3.66,1,0.00,7.78,24,4.12,,,,,,,,,
上海大叶公路站莘奉金-上海颛桥站,10,2,14.57,14.57,9,0.00,20.06,1,5.49,,,,,,,,,
上海康桥站-上海沪南公路站沪芦,10,2,3.68,3.68,1,0.00,9.99,9,6.31,,,,,,,,,
上海新桥主线站-上海莘砖公路站,83,3,5.72,5.72,1,0.00,6.08,81,0.36,7.62,1,1.90,,,,,,
上海朱枫公路站申嘉湖-上海同济高架路站,17,2,15.92,15.92,2,0.00,23.75,15,7.83,,,,,,,,,
上海朱枫公路站申嘉湖-上海沪翔高速站,2,2,23.75,23.75,1,0.00,36.62,1,12.87,,,,,,,,,
上海江杨北路站-上海凌海路站,9,2,1.91,1.91,2,0.00,2.75,7,0.84,,,,,,,,,
上海沪崇站-G1503凌海路,6,2,10.03,10.03,3,0.00,19.06,3,9.03,,,,,,,,,
上海沪崇站-上海凌海路站,70,2,7.64,7.64,3,0.00,10.03,67,2.39,,,,,,,,,
上海沪翔高速站-G15曹安公路,2,2,5.74,5.74,1,0.00,8.02,1,2.28,,,,,,,,,
上海沪翔高速站-安徽肥东站,16,2,803.64,803.64,13,0.00,822.91,3,19.27,,,,,,,,,
上海沪翔高速站-安徽龙塘站,3,2,819.16,819.16,1,0.00,977.36,2,158.20,,,,,,,,,
上海沪翔高速站-江苏太仓新区站,3,2,31.27,31.27,1,0.00,33.35,2,2.08,,,,,,,,,
上海沪翔高速站-江苏江阴南站,6,3,197.24,197.24,3,0.00,231.27,1,34.03,237.26,2,40.02,,,,,,
上海白鹤路站-上海凌海路站,9,2,10.03,10.03,8,0.00,18.24,1,8.21,,,,,,,,,
上海莘砖公路站-上海新桥主线站,28,2,4.76,4.76,1,0.00,6.08,27,1.32,,,,,,,,,
上海蕰川路站-上海朱枫公路站申嘉湖,5,2,15.92,15.92,1,0.00,23.75,4,7.83,,,,,,,,,
上海蕰川路站-浙江秀洲(嘉兴西)站,3,2,67.27,67.27,2,0.00,89.87,1,22.60,,,,,,,,,
上海金山卫站-上海凌海路站,20,2,29.42,29.42,17,0.00,31.28,3,1.86,,,,,,,,,
上海金山卫站-上海同济高架路站,9,2,24.11,24.11,1,0.00,29.42,8,5.31,,,,,,,,,
上海金山卫站-上海周浦站,6,2,60.77,60.77,1,0.00,65.39,5,4.62,,,,,,,,,
上海金山卫站-上海林海公路站东南环,3,2,31.28,31.28,2,0.00,39.41,1,8.13,,,,,,,,,
上海金山卫站-上海沪崇站,4,2,29.42,29.42,2,0.00,31.28,2,1.86,,,,,,,,,
上海金山卫站-上海沪翔高速站,19,3,29.42,29.42,1,0.00,31.28,16,1.86,99.85,2,70.43,,,,,,
上海金山卫站-上海蕰川路站,20,2,29.42,29.42,19,0.00,31.28,1,1.86,,,,,,,,,
上海金山卫站-上海高东站,38,5,29.50,29.50,1,0.00,31.28,1,1.78,36.87,3,7.37,41.48,32,11.98,93.45,1,63.95
上海颛桥站-上海大叶公路站莘奉金,15,2,14.57,14.57,14,0.00,20.06,1,5.49,,,,,,,,,
上海高东站-S19金山卫,3,2,22.67,22.67,1,0.00,41.48,2,18.81,,,,,,,,,
上海高东站-上海临港站,160,2,10.03,10.03,159,0.00,77.18,1,67.15,,,,,,,,,
上海高东站-上海金山卫站,54,5,22.67,22.67,1,0.00,31.28,4,8.61,36.87,11,14.20,40.26,4,17.59,41.48,34,18.81
上海高东站-上海金海路站,51,2,5.72,5.72,2,0.00,7.19,49,1.47,,,,,,,,,
上海高东站-浙江新仓(独山港东)站,54,3,36.73,36.73,2,0.00,42.32,11,5.59,46.93,41,10.20,,,,,,
安徽南淝河路站-安徽集贤路站,10,2,23.82,23.82,1,0.00,25.73,9,1.91,,,,,,,,,
安徽曹庄站-安徽滁州北站,3,2,47.02,47.02,2,0.00,55.17,1,8.15,,,,,,,,,
安徽滁州北站-安徽曹庄站,3,2,47.02,47.02,2,0.00,55.17,1,8.15,,,,,,,,,
安徽芜湖大桥-安徽芜湖大桥,12,3,28.59,28.59,1,0.00,66.70,1,38.11,71.46,10,42.87,,,,,,
安徽蜀山站-安徽三十头站,4,2,64.79,64.79,3,0.00,70.51,1,5.72,,,,,,,,,
安徽蜀山站-安徽龙塘站,21,2,48.60,48.60,3,0.00,52.90,18,4.30,,,,,,,,,
安徽龙塘站-安徽蜀山站,24,2,48.60,48.60,2,0.00,52.90,22,4.30,,,,,,,,,
暨阳轮渡停车场-暨阳轮渡停车场,4,4,135.41,135.41,1,0.00,140.42,1,5.01,145.44,1,10.03,150.45,1,15.04,,,
江苏上党站-江苏瓜洲站,7,3,143.81,143.81,4,0.00,143.85,2,0.04,151.45,1,7.64,,,,,,
江苏将军大道站-安徽巢湖收费站,34,2,261.03,261.03,33,0.00,280.84,1,19.81,,,,,,,,,
江苏将军大道站-安徽郑蒲港站,11,2,171.33,171.33,2,0.00,185.12,9,13.79,,,,,,,,,
江苏曹庄站-江苏曹庄站,6,2,42.88,42.88,4,0.00,45.14,2,2.26,,,,,,,,,
江苏瓜洲站-江苏上党站,7,2,143.81,143.81,6,0.00,151.45,1,7.64,,,,,,,,,
浙江仁和站-上海凌海路站,3,2,135.56,135.56,1,0.00,143.38,2,7.82,,,,,,,,,
浙江凤桥站-上海凌海路站,2,2,66.02,66.02,1,0.00,75.60,1,9.58,,,,,,,,,
浙江嘉兴东站-G1503凌海路,2,2,50.22,50.22,1,0.00,139.33,1,89.11,,,,,,,,,
浙江屠甸站-上海蕰川路站,18,2,76.21,76.21,1,0.00,76.94,17,0.73,,,,,,,,,
浙江屠甸站-浙江马家浜站,2,2,21.50,21.50,1,0.00,23.45,1,1.95,,,,,,,,,
浙江新仓(独山港东)站-上海高东站,11,3,36.73,36.73,1,0.00,46.93,9,10.20,97.95,1,61.22,,,,,,
浙江泗安站-浙江姚庄站,4,2,133.63,133.63,2,0.00,135.32,2,1.69,,,,,,,,,
浙江湖州北站-浙江姚庄站,2,2,97.15,97.15,1,0.00,97.96,1,0.81,,,,,,,,,
浙江湖州南鹿山站-安徽芜湖主线站,2,2,343.31,343.31,1,0.00,346.13,1,2.82,,,,,,,,,
浙江王江泾(嘉兴北)站-上海凌海路站,13,2,55.33,55.33,12,0.00,67.45,1,12.12,,,,,,,,,
浙江王江泾(嘉兴北)站-上海同济高架路站,15,2,55.33,55.33,14,0.00,67.45,1,12.12,,,,,,,,,
浙江王江泾(嘉兴北)站-上海蕰川路站,20,3,55.33,55.33,18,0.00,67.45,1,12.12,71.19,1,15.86,,,,,,
浙江王江泾(嘉兴北)站-浙江长兴站,11,2,85.54,85.54,10,0.00,98.89,1,13.35,,,,,,,,,
浙江秀州(嘉兴西)站-上海沪翔高速站,3,2,67.27,67.27,2,0.00,89.06,1,21.79,,,,,,,,,
浙江秀洲(嘉兴西)站-G1503凌海路,2,2,67.27,67.27,1,0.00,160.17,1,92.90,,,,,,,,,
浙江秀洲(嘉兴西)站-上海同济高架路站,16,3,67.27,67.27,14,0.00,179.70,1,112.43,189.83,1,122.56,,,,,,
浙江长兴站-浙江南浔站,11,2,46.65,46.65,10,0.00,46.89,1,0.24,,,,,,,,,
浙江马家浜站-G1503凌海路,2,2,68.62,68.62,1,0.00,71.54,1,2.92,,,,,,,,,
浙江马家浜站-上海凌海路站,11,4,68.62,68.62,2,0.00,71.54,7,2.92,92.81,1,24.19,164.44,1,95.82,,,
镇扬汽渡-镇扬汽渡,4,3,65.20,65.20,2,0.00,70.21,1,5.01,75.23,1,10.03,,,,,,
骥江轮渡停车场-骥江轮渡停车场,14,5,90.27,90.27,3,0.00,95.29,6,5.02,100.30,3,10.03,105.32,1,15.05,130.39,1,40.12
